total_experience_months(mois),all_descriptions_propre
11,selenium webdriver extraction contenu web angular analyse financière redis python langage programmation react js prezi wordpress développement ios gestion projet oracle sql developer oracle database deep learning visualization aws cloud django mongodb echart vue internet of things iot theorie language machine leaning optimization java microsoft sql server sass html 計算機網絡 亚马逊网络服务系统 aws grails web scraping 数据可视化 big data analytics nosql r web python sql xml language android studio yue guo cherche premier stage france second semestre m2 réjouis travail espère commencer stage 6 mois mars avril très nerveux idée postuler première fois espère vraiment avoir chance autres vidéos présentation entretien veuillez consulter site web https guoyue xyz our service aurther maxwell avant travaille temps partiel études universités chinoises chaque emploi different a certificats bien poste lié informatique capacité apprentissage adaptation forte espère trouver emploi rapport python r merci patience bien novice matière capable apprendre rapidement adapter quit in france agissait projet premier semestre m2 luniversité côte azur basé développement big data autres partenaires occupés hadoop nettoyage données responsable visualisation données utilise django python développement backend echart visualisation frontend
7,développement logiciels anglais javascript html php react js
35,anglais français italien russe microsoft power bi cubes assurance qualité administration système analyse données gestion inventaire installation logiciel amélioration processus métiers business process model and notation planification tests spécifications techniques spécifications produits microsoft access microsoft sql server sql testing tests manuels mathématiques anglais
16,négociations stratégiques compétences analytiques science données administration bases données groovy net framework spring security big data ingénierie web ingénierie information conception logiciels spring boot planification projets apprentissage automatique nosql angular méthodes agiles framework spring mysql api rest data analysis expressions dax microsoft sql server pentaho analyse financière communication langage programmation java javascript react js sql pl sql oracle database administration unix administration système linux html5 feuilles style cascade css gestion projet langage modélisation unifié uml merise français anglais arabe azure devops server microsoft power bi analyse données développement système décisionnel
77,devenir expert informatique sein grande entreprise résume plan carrière fixé optique parvenir décrocher précieux poste accomplir mission freelance informatique moyen plus approprié actuellement 1ère année master informatique souhaiterais dès présent être application connaissances expérience pu acquérir durant 3 années licence informatique durant lesquelles appris langages python java autre réalisé full stack blog utilisant node js express mongodb bcrypt jwt html css us système vol utilisant java double navigabilité travailler groupe chargé accueil clientèle internationale vente billets contribution atteinte objectifs commerciaux communs équipe encaissement ventes comptabilisation recettes fin service entretien locaux contrôle respect hygiène alimentaire veiller sécurité enfants durant séjour suivi clients traitement commandes clients aliments gestion équipe programme calcule matrices utilisant plusieurs méthodes gausse jacobi gausse seidel autres méthodes programmé sagemath manipuler graphes définir si formule présente réponses donne programmé utilisant serveur tcp plusieurs clients reçoivent dynamiquement informations sdl interface graphique sdl interface programmé java système gère réservations vols etc réalisant doubles navigabilités programmation orientée objet node js express côté serveur mongodb base données bcrypt hasher mot passe jwt session côté client html css interface
104,anglais arabic français german spring boot user experience ux back end web development user interface design oracle database figma software mobile applications flutter laravel sanctum html5 cascading style sheets css web services rest apis adobe photoshop graphic design adobe illustrator after effects product design mobile design web design mobile application development web development développement web langage programmation mysql pl sql design graphique design produits création logo graphiques illustrations programmation bannières design publicité growing up during a time when information technology was developing quickly i was always captivated by computers and their capacity to bring people together this inspired to study about website graphic design and subsequently to pursue a career in it i have developed a deep love for creativity and the beauty that comes with original designs over the years today i a cs student and a freelance graphic ui ux designer that is passionate about giving users amazing visually appealing experiences skills fullstack web mobile development spring boot jakarta ee laravel flutter kotlin jetpack compose dart tailwind css reactjs graphic design adobe photoshop adobe illustrator ui ux design figma adobe xd programming java python portfolio www be net ybdesign01 during this internship i worked the development of the e station project a web and mobile application focused gas station management part of my responsibilities i successfully designed and implemented the backend using spring boot rest api this involved creating functionalities for attendant check ins and check outs integrating the scanning of pump electronic counters and managing all essential interactions related to gas tanks gas prices and transactions within the station i also designed the ui ux design of the app creating modern and appealing interfaces and coded some of them in flutter creating a mobile app and it web administration app of employee attendance that i named empmaster using laravel a backend and flutter for frontend redesigning and revamping the old client radem plateform
39,chinese english french retail analytical skills customer service english independence ibm spss statistics microsoft powerpoint python programming language microsoft excel microsoft office financial markets commercial banking financial planning possess excellent client communication skills and build excellent relationships with customers love to learn like to try all new things and have the courage to change majors into marketing intermediate level of french looking for a six month internship marketing starting july 2023 fully understood the functions of products assisted in the shooting of product marketing photos and updating website product information assisted the marketing team in email direct sales by consulting suppliers for detailed product information and provided them with more accurate product information and prices searched for attractive products the supply website negotiated the most favorable price achieved sales of 500 units and generated sales revenue of 11 325 euros by selecting the optimal packaging and shipping methods used crm system to maintain customer relationship accomplished a satisfactory achievement with the 600 customers and the financial assets scale of 350 million rmb promoted the event through social network and created marketing content once successfully helped a client realize financial asset allocation of 1 million rmb organized customer feedback activities and responsible for customer service prepared and distributed the activities materials participated in the competition to select the thousand best outlets of bank of china and finally won the title of thousand best outlets data analysis responsible for the project audit of meituan company which is china leading e commerce platform for services and the audit of financial statements of 22 meituan subsidiaries extracted the required data from nearly 100 company reports and independently completed the audit report thoroughly analyzed the current situation trends and competitive situation of the energy electric vehicle market and formulated gtm strategies conducted in depth research schneider electric official website and industry reports explored its unique services and products in the field of electric transportation
9,python programming language javascript amazon web services aws java typescript node js html react js django i currently a master student in computer science at columbia university graduating in december 2023 i interested in software development and machine learning and had previous experience software engineer intern and machine learning engineer intern coursework engineering software a service neural network deep learning artificial intelligence cloud computing database systems data structures algorithms engineering blockchain and web3 apps skills languages python java javascript typescript spark sql mongodb neo4j html5 css frameworks and tools hadoop google cloud platform amazon web services reactjs django flask latex git jira extracted and selected features of medical images based radiomics and built classification models for benign and malignant dichotomies of parotid gland tumors and quartation of breast cancer conducted data analysis and comparison of the performance of artificial and diagnosis developed a preliminary understanding of software development process using several different architectures including spring spring cloud mybatis etc worked backend of google authenticator to support senior development engineer with a major project designed to support online medical diagnosis implemented online services for player rating by multiple aws services including api gateway cloudfront sns etc designed and constructed both front end and back end which supported google authenticator login developed microservices that implemented rest api for players users running ec2 elastic beanstalk and docker respectively connected to sql database rds for query transaction processed comments using lambda function which supports sent subscription confirmation email used python and sk learn to implement classifiers for sentiment analysis and feature analysis trained a model that has 70 accuracy sentiment analysis dataset of tweets from 2013
190,français anglais unity3d microsoft hololens java gameplay programming adobe photoshop arduino android programmation php linux css sql javascript html5 fan jeux vidéo réalité virtuelle augmentée ingénieure réalité virtuelle augmentée sein innolab atos clermont ferrand temps partiel reste temps avance jeu vidéo indé micro entreprise stellar sea studio fondée ingénieure réalité augmentée virtuelle mixte innolab développeuse mixed reality développeuse 3d développeuse réalité augmentée projet factolab dont but améliorer quotidien opérateurs usine dispositifs wearables montres connectées casques réalité augmentée développe notamment microsoft hololens moteur jeu unity 3d programmation gameplay ghost recon wildlands tactical shooter programmation différents gameplays productions courantes société développement unity multi plateformes correction bugs tests jeu abc murders développement unity 3d jeux applications développement serious game pompiers medfire gestion propagation feu réalisation borne chronométrage nfc tpm toulon provence méditerranée vue installation stade coureur fait tour stade tag nfc chaussure chronomètre foi affiché borne envoyé webapp via 3g webapp permet consulter classement partager résultats facebook réalisation mini jeu catapultes basé univers seigneur anneaux utilisant capteur flexion relié arduino comme catapulte projet technique cabine essayage interactive musée borély association design the future now utilisant caméra kinect microsoft
51,design interface utilisateur création logo adobe illustrator adobe photoshop adobe indesign adobe xd procreate réalisation illustration conception web illustration identité visuelle graphique design identité visuelle logo chartre graphique illustrations ui design différentes réalisations impressions sérigraphie réalisation illustrations mjc ville différentes réalisation graphique magasine ville
